,Disaster Type,Disaster Subtype,Country,Location,Start Year,Start Month,Start Day,End Year,End Month,End Day,No Deaths,No Missing,Total Deaths,No Injured,No Affected,No Homeless,Total Affected
60,Flood,Flash flood,Bangladesh,"Gangni, Meherpur Sadar areas (Meherpur district, Khulna province), Daulatpur, Kushtia Sadar, Bheramara areas (Kushtia district, Khulna province), Jibannagar, Alamdanga, Cuadanda Sadar, Damurhuda areas (Chuadanga district, Khulna province), Maheshpur, Kotchandpur areas (Jhenaidah district, Khulna province), Paba, Godagari, Tanor, Mohanpur areas (Rajshahi district, Rajshahi province)",2000,9.0,,2000,10.0,,31.0,,31.0,,2467138.0,,2467138.0
61,Flood,Riverine flood,Bangladesh,"Nilphamari district (Rangpur province), Brahamanbaria district (Chittagong province), Sylhet province",2001,6.0,5.0,2001,6.0,5.0,9.0,,9.0,,500000.0,,500000.0
62,Flood,,Bangladesh,"Sunamganj, Sylhet districts (Sylhet province), Nawabganj, Rajshahi districts (Rajshahi province), Kushtia district (Khulna province)",2001,8.0,31.0,2001,8.0,31.0,,,,,200000.0,,200000.0
63,Flood,Flash flood,Bangladesh,"Mymensingh, Netrakona, Sherpur districts (Dhaka province), Sunamganj district (Sylhet province), Rangpur, Nilphamari, Kurigram, Gaibandha districts (Rangpur province), Noakhali, Lakshmipur, Cox's Bazar districts (Chittagong province), Jessore, Satkhira districts (Khulna province), Barguna, Bhola, Barisal, Patuakhali districts (Barisal province), Rajshahi province",2002,7.0,,2002,8.0,,10.0,,10.0,,1500000.0,,1500000.0
64,Flood,Flash flood,Bangladesh,"Khagrachhari, Chittagong, Feni, Cox's Bazar, Lakshmipur, Comilla districts (Chittagong province), Bhola district (Barisal province), Netrakona, Jamalpur districts (Dhaka province), Sylhet province",2003,6.0,19.0,2003,7.0,3.0,65.0,,65.0,,500000.0,,500000.0
65,Flood,Riverine flood,Bangladesh,"Maulvibazar, Habiganj, Sylhet districts (Sylhet province), Lalmonirhat, Kurigram, Rangpur, Nilphamari, Gaibandha districts (Rangpur province), Comilla, Feni districts (Chittagong province), Sirajganj, Bogra, Pabna, Rajshahi, Nawabganj districts (Rajshahi province), Jamalpur, Tangail, Manikganj, Munshiganj, Narsingdi, Narayanganj, Kishoreganj, Rajbari, Madaripur, Chandpur, Faridpur, Dhaka districts (Dhaka province)",2003,6.0,11.0,2003,10.0,10.0,187.0,,187.0,,50000.0,,50000.0
66,Flood,Riverine flood,Bangladesh,"Brahamanbaria, Comilla, Chandpur districts (Chittagong province), Kurigram, Rangpur, Gaibandha districts (Rangpur province), Bogra, Naogaon, Pabna, Serajganj districts (Rajshahi province), Sylhet, Dhaka provinces",2004,6.0,20.0,2004,8.0,3.0,730.0,,730.0,,36000000.0,,36000000.0
67,Flood,Riverine flood,Bangladesh,"Debidwar, Burichang, Cahndina, Chauddagram, Muradnagar areas (Comilla district, Chittagong province)",2004,9.0,11.0,2004,9.0,18.0,20.0,,20.0,,600000.0,,600000.0
68,Flood,Flash flood,Bangladesh,"Dhaka, Faridpur, Gopalganj districts (Dhaka province), Lakshmipur district (Chittagong province), Bogra, Rajshahi, Naogaon, Joypurhat, Sirajganj districts (Rajshahi province), Gaibandha, Kurigram districts (Rangpur province)",2004,10.0,7.0,2004,10.0,18.0,11.0,,11.0,200.0,271500.0,,271700.0
69,Flood,Flash flood,Bangladesh,"Maulvibazar, Habiganj districts (Sylhet province)",2005,5.0,25.0,2005,5.0,28.0,13.0,,13.0,,50000.0,,50000.0
