Dates,division Flooded Area (m^2),division Fractional flooded Area
2017-01-08 00:00:00.000000000,189864985.89193085,0.01813263784782514
2017-01-15 00:00:00.000000000,,
2017-01-22 00:00:00.000000001,190048031.16892642,0.01815011918437555
2017-01-29 00:00:00.000000001,575252866.3565373,0.05493825966681175
2017-02-05 00:00:00.000000002,576269590.7563298,0.05503535969421215
2017-02-12 00:00:00.000000002,576635428.0551503,0.055070298180734965
2017-02-19 00:00:00.000000003,576905197.771891,0.0550960619441429
2017-02-26 00:00:00.000000003,137557872.84358764,0.013137162071629559
2017-03-05 00:00:00.000000004,86495776.67318998,0.00826058889380494
2017-03-12 00:00:00.000000004,87569925.81899752,0.008363173145261209
2017-03-19 00:00:00.000000005,58454918.94108613,0.0055826084551787595
2017-03-26 00:00:00.000000005,98783088.33224702,0.009434061566453792
2017-04-02 00:00:00.000000006,296079234.2218969,0.028276396004173504
2017-04-09 00:00:00.000000006,360593928.34658855,0.0344377299590929
2017-04-16 00:00:00.000000007,321108999.63204074,0.03066680869383335
2017-04-23 00:00:00.000000007,380397894.0614838,0.036329064143603026
2017-04-30 00:00:00.000000008,398149852.2372922,0.03802442586171828
2017-05-07 00:00:00.000000008,272942606.32762563,0.026066783248794263
2017-05-14 00:00:00.000000009,364281626.1442296,0.03478991542574291
2017-05-21 00:00:00.000000009,454552930.8892707,0.04341107782334355
2017-05-28 00:00:00.000000010,322798792.41077733,0.03082818863627382
2017-06-04 00:00:00.000000010,473304785.22989714,0.045201932425293606
2017-06-11 00:00:00.000000011,371154223.0693515,0.03544626767801255
2017-06-18 00:00:00.000000011,792681869.0553924,0.07570333830957002
2017-06-25 00:00:00.000000012,792745818.2727567,0.07570944563891077
2017-07-02 00:00:00.000000012,827464705.402381,0.07902519658605657
2017-07-09 00:00:00.000000013,827816226.9333533,0.07905876787666022
2017-07-16 00:00:00.000000013,1108013197.2314894,0.10581836319965361
2017-07-23 00:00:00.000000014,1056158915.6250297,0.10086613409426048
2017-07-30 00:00:00.000000014,922897731.06414,0.08813931778601197
2017-08-06 00:00:00.000000015,2351289394.541071,0.22455472169530363
2017-08-13 00:00:00.000000015,2397561908.578312,0.22897387636673563
2017-08-20 00:00:00.000000016,1800754995.5098596,0.171977144879297
2017-08-27 00:00:00.000000016,1595871678.030491,0.15241021430775417
2017-09-03 00:00:00.000000017,919392279.2834831,0.08780453732434305
2017-09-10 00:00:00.000000017,958474737.6136242,0.09153702154081955
2017-09-17 00:00:00.000000018,840342621.8358333,0.0802550736685812
2017-09-24 00:00:00.000000018,840342621.8358333,0.0802550736685812
2017-10-01 00:00:00.000000019,652014709.9432573,0.06226923069209413
2017-10-08 00:00:00.000000019,575134907.4557338,0.05492699426145462
2017-10-15 00:00:00.000000020,423054401.55222166,0.04040288006363182
2017-10-22 00:00:00.000000020,585923266.7049185,0.05595731278131613
2017-10-29 00:00:00.000000021,673530385.6514618,0.06432403797441306
2017-11-05 00:00:00.000000021,378605182.282011,0.036157855148379374
2017-11-12 00:00:00.000000022,335319543.3492724,0.032023955413828964
2017-11-19 00:00:00.000000022,283591532.1057593,0.02708378548170294
2017-11-26 00:00:00.000000023,251242009.50838313,0.02399431548252081
2017-12-03 00:00:00.000000023,196088076.5569115,0.018726960433383403
2017-12-10 00:00:00.000000024,134991877.1584331,0.012892102297920297
2017-12-17 00:00:00.000000024,156242409.8416803,0.014921587678853133
2017-12-24 00:00:00.000000025,131160210.81873927,0.01252616743233683
2017-12-31 00:00:00.000000025,154644028.1049893,0.014768937746914169
2018-01-07 00:00:00.000000026,185777456.99033427,0.017742267391066168
2018-01-14 00:00:00.000000026,254517637.87227577,0.0243071471642946
2018-01-21 00:00:00.000000027,532145402.5917344,0.050821376159758354
2018-01-28 00:00:00.000000027,532956207.81950307,0.05089881032957743
2018-02-04 00:00:00.000000028,536578992.0723561,0.05124479637091724
2018-02-11 00:00:00.000000028,536578992.0723561,0.05124479637091724
2018-02-18 00:00:00.000000029,220882207.9302632,0.021094869412663468
2018-02-25 00:00:00.000000029,221627059.2697943,0.021166004801459547
2018-03-04 00:00:00.000000030,61396677.87583131,0.005863554671505871
2018-03-11 00:00:00.000000030,67699599.32563083,0.006465501320571304
2018-03-18 00:00:00.000000031,67709997.7050476,0.006466494394925077
2018-03-25 00:00:00.000000031,91788252.10094383,0.008766035118126665
2018-04-01 00:00:00.000000032,90552261.90934175,0.008647994593579705
2018-04-08 00:00:00.000000032,91871449.53942776,0.008773980706486776
2018-04-15 00:00:00.000000033,92209767.8297041,0.00880629105062979
2018-04-22 00:00:00.000000033,73453598.90948254,0.007015024394245911
2018-04-29 00:00:00.000000034,57110927.49492529,0.005454253508376296
2018-05-06 00:00:00.000000034,178814482.08037663,0.01707728378815152
2018-05-13 00:00:00.000000035,178814482.08037663,0.01707728378815152
2018-05-20 00:00:00.000000035,316014801.4852885,0.03018029850510009
2018-05-27 00:00:00.000000036,400805537.76033753,0.03827805126611223
2018-06-03 00:00:00.000000036,400805537.76033753,0.03827805126611223
2018-06-10 00:00:00.000000037,349641146.79262596,0.03339170864867927
2018-06-17 00:00:00.000000037,447573102.46942866,0.042744484663038616
2018-06-24 00:00:00.000000038,492938123.2784836,0.04707697118984801
2018-07-01 00:00:00.000000038,471958816.0776313,0.04507338860201978
2018-07-08 00:00:00.000000039,664254091.4305096,0.06343812589911267
2018-07-15 00:00:00.000000039,581029293.3540072,0.0554899246212923
2018-07-22 00:00:00.000000040,601389084.8560746,0.05743434172500381
2018-07-29 00:00:00.000000040,922000471.8610805,0.08805362701944817
2018-08-05 00:00:00.000000041,1034874023.901183,0.09883336732873184
2018-08-12 00:00:00.000000041,1114041480.9271266,0.10639408117410497
2018-08-19 00:00:00.000000042,672927613.5164266,0.06426647154752287
2018-08-26 00:00:00.000000042,642722804.3464255,0.061381827686679366
2018-09-02 00:00:00.000000043,604406714.5616953,0.05772253381241694
2018-09-09 00:00:00.000000043,779929463.0528924,0.07448544782467893
2018-09-16 00:00:00.000000044,790689200.1340936,0.07551303284734492
2018-09-23 00:00:00.000000044,427344400.8587329,0.04081258701105532
2018-09-30 00:00:00.000000045,457028975.4624813,0.04364754701396439
2018-10-07 00:00:00.000000045,320301744.89089787,0.030589713605429766
2018-10-14 00:00:00.000000046,300573960.38530165,0.02870565493974445
2018-10-21 00:00:00.000000046,250834505.2622431,0.023955397685845474
2018-10-28 00:00:00.000000047,175251958.16464671,0.01673705277775914
2018-11-04 00:00:00.000000047,166433665.14115623,0.015894881099396237
2018-11-11 00:00:00.000000048,98067925.39759679,0.009365761503462813
2018-11-18 00:00:00.000000048,93841730.74474008,0.008962148079140942
2018-11-25 00:00:00.000000049,50648060.98072128,0.004837031657752401
2018-12-02 00:00:00.000000049,37764656.08683601,0.0036066304118866246
2018-12-09 00:00:00.000000050,16650463.16449154,0.0015901658599238805
2018-12-16 00:00:00.000000050,3423626.8743054555,0.0003269659539710883
2018-12-23 00:00:00.000000051,39083285.73118932,0.003732563235593648
2018-12-30 00:00:00.000000051,39176801.10318992,0.0037414942154987934
2019-01-06 00:00:00.000000052,152494848.35881948,0.014563685062623241
2019-01-13 00:00:00.000000052,203899822.84786525,0.019473004080070213
2019-01-20 00:00:00.000000053,421937264.2516811,0.040296190323015145
2019-01-27 00:00:00.000000053,683562079.3403462,0.06528209281431066
2019-02-03 00:00:00.000000054,686779276.8057212,0.06558934418164697
2019-02-10 00:00:00.000000054,374641350.1527253,0.03577929807977473
2019-02-17 00:00:00.000000055,377229372.8179532,0.03602646149176504
2019-02-24 00:00:00.000000055,153982101.0761199,0.014705721862006315
2019-03-03 00:00:00.000000056,152127762.9287608,0.014528627376071936
2019-03-10 00:00:00.000000056,38966049.75276516,0.0037213668713482113
2019-03-17 00:00:00.000000057,64362414.855970435,0.0061467908583158724
2019-03-24 00:00:00.000000057,63855471.30557637,0.006098376329615892
2019-03-31 00:00:00.000000058,66088892.350228526,0.006311674293819991
2019-04-07 00:00:00.000000058,65486854.86780991,0.006254178028312001
2019-04-14 00:00:00.000000059,73797724.77235906,0.007047889377835681
2019-04-21 00:00:00.000000059,73576507.3704672,0.007026762496461013
2019-04-28 00:00:00.000000060,55795888.592938446,0.005328663610620733
2019-05-05 00:00:00.000000060,56532443.353339136,0.00539900665287624
2019-05-12 00:00:00.000000061,60411088.59123048,0.00576942813479659
2019-05-19 00:00:00.000000061,110958509.95095104,0.01059684842691369
2019-05-26 00:00:00.000000062,283945475.47546315,0.02711758806468752
