Dates,division Flooded Area (m^2),division Fractional flooded Area
2017-01-08 00:00:00.000000000,242781756.6146912,0.011846502165120747
2017-01-15 00:00:00.000000000,,
2017-01-22 00:00:00.000000001,246036620.425245,0.01200532279364142
2017-01-29 00:00:00.000000001,491306513.2436318,0.023973233219972565
2017-02-05 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,490156605.762651,0.023917123643812165
2017-02-19 00:00:00.000000003,498036297.4880563,0.02430161210944941
2017-02-26 00:00:00.000000003,389992967.3708641,0.019029652790893588
2017-03-05 00:00:00.000000004,210539601.52487418,0.01027325067618839
2017-03-12 00:00:00.000000004,214986211.4592551,0.010490222391648428
2017-03-19 00:00:00.000000005,146148227.1049423,0.007131282485837696
2017-03-26 00:00:00.000000005,316513793.5223191,0.015444246686968074
2017-04-02 00:00:00.000000006,453265505.46963304,0.022117027518020815
2017-04-09 00:00:00.000000006,511353085.4866318,0.024951402934169198
2017-04-16 00:00:00.000000007,630906845.024073,0.030785012060971766
2017-04-23 00:00:00.000000007,665664532.0123879,0.03248100858024543
2017-04-30 00:00:00.000000008,734510049.9768023,0.03584031608751693
2017-05-07 00:00:00.000000008,529241828.2706203,0.025824281658982675
2017-05-14 00:00:00.000000009,580843428.4023923,0.02834217458557064
2017-05-21 00:00:00.000000009,656624779.2612553,0.03203991509763913
2017-05-28 00:00:00.000000010,562074337.851944,0.027426339413506567
2017-06-04 00:00:00.000000010,828317465.7333417,0.040417635937903824
2017-06-11 00:00:00.000000011,805219183.6842704,0.03929055846667864
2017-06-18 00:00:00.000000011,1404416294.9139936,0.06852829846203823
2017-06-25 00:00:00.000000012,1405658723.6792703,0.06858892260144264
2017-07-02 00:00:00.000000012,1420641371.148899,0.06931999880816887
2017-07-09 00:00:00.000000013,1422896678.6289575,0.06943004622407882
2017-07-16 00:00:00.000000013,2145139296.0440512,0.10467177463998006
2017-07-23 00:00:00.000000014,2032257869.3211656,0.0991637410680965
2017-07-30 00:00:00.000000014,1464708054.8771505,0.07147022653316604
2017-08-06 00:00:00.000000015,1805768368.3493624,0.08811221725900803
2017-08-13 00:00:00.000000015,1895830791.7066882,0.09250680072432108
2017-08-20 00:00:00.000000016,3055776857.151926,0.14910620822234225
2017-08-27 00:00:00.000000016,3062123875.2103424,0.14941591008882318
2017-09-03 00:00:00.000000017,1926356215.0747983,0.09399628452682711
2017-09-10 00:00:00.000000017,1746425780.3709717,0.08521660390332422
2017-09-17 00:00:00.000000018,1626038788.5969424,0.07934233732502106
2017-09-24 00:00:00.000000018,1626038788.5969424,0.07934233732502106
2017-10-01 00:00:00.000000019,1160274479.228234,0.0566154324030452
2017-10-08 00:00:00.000000019,1362500080.3920333,0.06648300258391285
2017-10-15 00:00:00.000000020,977715536.3329122,0.047707494086642405
2017-10-22 00:00:00.000000020,1164439973.6580863,0.05681868712642361
2017-10-29 00:00:00.000000021,1339438178.094686,0.06535770025763091
2017-11-05 00:00:00.000000021,869717137.0690057,0.042437727162845364
2017-11-12 00:00:00.000000022,656142164.9446083,0.032016365998947374
2017-11-19 00:00:00.000000022,486484152.6587649,0.023737926803600085
2017-11-26 00:00:00.000000023,412392915.80580187,0.020122655170204267
2017-12-03 00:00:00.000000023,317013046.1152069,0.01546860764804298
2017-12-10 00:00:00.000000024,239195673.34352392,0.011671519728925555
2017-12-17 00:00:00.000000024,247362495.7637509,0.01207001869702109
2017-12-24 00:00:00.000000025,173275371.40628976,0.008454947732273305
2017-12-31 00:00:00.000000025,159907684.91574165,0.0078026733226921096
2018-01-07 00:00:00.000000026,172011444.51618865,0.008393274594847662
2018-01-14 00:00:00.000000026,176122005.7925126,0.008593848862613242
2018-01-21 00:00:00.000000027,337494638.7026411,0.016468004119653643
2018-01-28 00:00:00.000000027,343347126.6834297,0.016753575459537255
2018-02-04 00:00:00.000000028,449407837.1988537,0.021928793129410498
2018-02-11 00:00:00.000000028,446163994.55599713,0.021770510277240106
2018-02-18 00:00:00.000000029,378733208.7282866,0.018480234428501035
2018-02-25 00:00:00.000000029,373383502.8325325,0.018219196270772443
2018-03-04 00:00:00.000000030,208949862.32967097,0.010195679572491989
2018-03-11 00:00:00.000000030,225309782.60558683,0.010993959614914717
2018-03-18 00:00:00.000000031,223299656.51591927,0.010895875790967414
2018-03-25 00:00:00.000000031,182097765.4979734,0.008885435229217113
2018-04-01 00:00:00.000000032,176629742.66306835,0.008618623812841057
2018-04-08 00:00:00.000000032,226954945.4570589,0.011074235108237187
2018-04-15 00:00:00.000000033,230918927.83003226,0.011267657078729214
2018-04-22 00:00:00.000000033,182817752.48098403,0.008920566894264872
2018-04-29 00:00:00.000000034,123172587.48680198,0.006010189335031887
2018-05-06 00:00:00.000000034,290790745.9400761,0.01418909414533717
2018-05-13 00:00:00.000000035,240361346.0931167,0.011728398569182853
2018-05-20 00:00:00.000000035,384076684.4894312,0.018740968587674833
2018-05-27 00:00:00.000000036,527960541.4425992,0.025761761445792265
2018-06-03 00:00:00.000000036,562521389.2680748,0.027448153225396555
2018-06-10 00:00:00.000000037,707697457.5792688,0.034531999357631876
2018-06-17 00:00:00.000000037,824370597.201364,0.040225049034911246
2018-06-24 00:00:00.000000038,1055499935.3717473,0.051502973057035585
2018-07-01 00:00:00.000000038,1031644449.1562893,0.05033894791345802
2018-07-08 00:00:00.000000039,1527425867.0268247,0.0745305334844907
2018-07-15 00:00:00.000000039,1128185505.9329522,0.0550496553985466
2018-07-22 00:00:00.000000040,1262336187.9472575,0.06159551933451388
2018-07-29 00:00:00.000000040,1563513189.1019075,0.07629140936353938
2018-08-05 00:00:00.000000041,1563513189.1019075,0.07629140936353938
2018-08-12 00:00:00.000000041,1669097688.5625591,0.08144339038099656
2018-08-19 00:00:00.000000042,1218628613.9369278,0.05946281431843108
2018-08-26 00:00:00.000000042,1236875164.9929929,0.06035315224828928
2018-09-02 00:00:00.000000043,1272310246.6672966,0.0620822021473807
2018-09-09 00:00:00.000000043,1319098113.7241428,0.06436520963574802
2018-09-16 00:00:00.000000044,1490926354.1291811,0.07274954481138368
2018-09-23 00:00:00.000000044,1051053137.5416383,0.05128599217322954
2018-09-30 00:00:00.000000045,1207091931.4544458,0.058899883495651284
2018-10-07 00:00:00.000000045,780153248.872277,0.03806746965159802
2018-10-14 00:00:00.000000046,608184620.8649174,0.02967628428236442
2018-10-21 00:00:00.000000046,454117192.80069447,0.022158585483298403
