Dates,division Flooded Area (m^2),division Fractional flooded Area
2017-01-08 00:00:00.000000000,12841198.543867938,0.001303357628938349
2017-01-15 00:00:00.000000000,,
2017-01-22 00:00:00.000000001,14764785.155077316,0.001498598071337757
2017-01-29 00:00:00.000000001,26961743.136048622,0.002736566488384835
2017-02-05 00:00:00.000000002,,
2017-02-12 00:00:00.000000002,,
2017-02-19 00:00:00.000000003,88678130.04424645,0.00900066430079054
2017-02-26 00:00:00.000000003,24596344.267985627,0.002496482928455435
2017-03-05 00:00:00.000000004,112595558.63565332,0.011428238558186036
2017-03-12 00:00:00.000000004,38032598.084697105,0.0038602375543603153
2017-03-19 00:00:00.000000005,38032598.084697105,0.0038602375543603153
2017-03-26 00:00:00.000000005,494408912.0969595,0.05018157963957331
2017-04-02 00:00:00.000000006,206060404.59670505,0.02091474556956281
2017-04-09 00:00:00.000000006,180918415.30816072,0.018362880692311248
2017-04-16 00:00:00.000000007,90832500.71447195,0.009219328893430166
2017-04-23 00:00:00.000000007,691504386.2266028,0.07018640153828637
2017-04-30 00:00:00.000000008,75428592.56177144,0.007655861033502471
2017-05-07 00:00:00.000000008,57878344.75572376,0.005874543714123905
2017-05-14 00:00:00.000000009,118016312.91059509,0.011978434975966632
2017-05-21 00:00:00.000000009,82107586.00161043,0.008333766372611202
2017-05-28 00:00:00.000000010,588161225.1010077,0.059697264018022
2017-06-04 00:00:00.000000010,1351962711.3413668,0.13722168595457138
2017-06-11 00:00:00.000000011,1351962711.3413668,0.13722168595457138
2017-06-18 00:00:00.000000011,803198783.0560887,0.08152317385903642
2017-06-25 00:00:00.000000012,803273946.8840916,0.08153080284696251
2017-07-02 00:00:00.000000012,908455832.9648123,0.09220656751029264
2017-07-09 00:00:00.000000013,908494796.4620428,0.09221052223236878
2017-07-16 00:00:00.000000013,684742863.4905878,0.06950011963001126
2017-07-23 00:00:00.000000014,947024131.0935156,0.09612117761693403
2017-07-30 00:00:00.000000014,264057507.02917016,0.026801342965704564
2017-08-06 00:00:00.000000015,1415416586.072048,0.1436621355304737
2017-08-13 00:00:00.000000015,1061197112.7161224,0.10770952165725906
2017-08-20 00:00:00.000000016,1660937667.6562555,0.16858206599138711
2017-08-27 00:00:00.000000016,1293000793.7877629,0.1312371616286064
2017-09-03 00:00:00.000000017,877093751.4121845,0.08902337490476099
2017-09-10 00:00:00.000000017,348695369.4244828,0.035391927658645315
2017-09-17 00:00:00.000000018,261810291.5586506,0.026573254799528784
2017-09-24 00:00:00.000000018,248677045.3022243,0.025240254874127486
2017-10-01 00:00:00.000000019,48030242.25277608,0.004874979733866541
2017-10-08 00:00:00.000000019,884465925.7519412,0.08977163680841124
2017-10-15 00:00:00.000000020,900209972.6953462,0.09136962811926513
2017-10-22 00:00:00.000000020,54053571.97735512,0.0054863364324895135
2017-10-29 00:00:00.000000021,38841924.030580975,0.0039423826237836995
2017-11-05 00:00:00.000000021,25520423.351605527,0.0025902752266793025
2017-11-12 00:00:00.000000022,13030411.622070162,0.0013225624023967845
2017-11-19 00:00:00.000000022,15734122.388940308,0.001596983987142527
2017-11-26 00:00:00.000000023,9830932.14399061,0.0009978212209454625
2017-12-03 00:00:00.000000023,12474242.421599174,0.0012661122690281546
2017-12-10 00:00:00.000000024,12027681.492061451,0.001220787170104524
2017-12-17 00:00:00.000000024,18994725.122406125,0.0019279290646664067
2017-12-24 00:00:00.000000025,11718195.257810257,0.0011893748963136702
2017-12-31 00:00:00.000000025,27254463.27913537,0.0027662770352884355
