Dates,division Flooded Area (m^2),division Fractional flooded Area
2017-01-08 00:00:00.000000000,301758150.8838127,0.01862809548443941
2017-01-15 00:00:00.000000000,,
2017-01-22 00:00:00.000000001,413741998.0673675,0.025541067982250507
2017-01-29 00:00:00.000000001,874780301.3034755,0.054001825411709066
2017-02-05 00:00:00.000000002,1052674090.8371615,0.06498354202090915
2017-02-12 00:00:00.000000002,930045643.7523617,0.05741345844665062
2017-02-19 00:00:00.000000003,930045643.7523617,0.05741345844665062
2017-02-26 00:00:00.000000003,401085658.4531629,0.024759768447751195
2017-03-05 00:00:00.000000004,329306047.4930676,0.020328678706233644
2017-03-12 00:00:00.000000004,240690931.98535663,0.01485830175632366
2017-03-19 00:00:00.000000005,127006138.44790411,0.007840326656258029
2017-03-26 00:00:00.000000005,111574523.55302551,0.006887704183927269
2017-04-02 00:00:00.000000006,130477072.27589622,0.00805459389834788
2017-04-09 00:00:00.000000006,177075258.2290339,0.010931187139638436
2017-04-16 00:00:00.000000007,160418712.83877257,0.009902947415004932
2017-04-23 00:00:00.000000007,139500661.81426492,0.008611636970890573
2017-04-30 00:00:00.000000008,131951953.89675249,0.008145641101484188
2017-05-07 00:00:00.000000008,123848736.57714094,0.007645414328756491
2017-05-14 00:00:00.000000009,139184894.73245084,0.008592144077877915
2017-05-21 00:00:00.000000009,139686201.10608995,0.008623090658667055
2017-05-28 00:00:00.000000010,136664723.8317238,0.00843656921092453
2017-06-04 00:00:00.000000010,138699027.42719737,0.008562150579679042
2017-06-11 00:00:00.000000011,102207885.68425566,0.0063094840958316445
2017-06-18 00:00:00.000000011,288418892.11748207,0.017804638072392475
2017-06-25 00:00:00.000000012,305822665.94227237,0.018879005606950335
2017-07-02 00:00:00.000000012,493334618.78321236,0.030454469440368545
2017-07-09 00:00:00.000000013,888075522.7643069,0.05482256431845858
2017-07-16 00:00:00.000000013,762597438.835197,0.047076567327855506
2017-07-23 00:00:00.000000014,1121613292.2512782,0.0692392879644798
2017-07-30 00:00:00.000000014,1052502753.9340248,0.06497296507317041
2017-08-06 00:00:00.000000015,2540019992.6060205,0.1568001885485712
2017-08-13 00:00:00.000000015,2880678776.144951,0.17782969290094752
2017-08-20 00:00:00.000000016,1123908114.7498577,0.06938095165276187
2017-08-27 00:00:00.000000016,973803778.7478784,0.0601147300263248
2017-09-03 00:00:00.000000017,558664995.633187,0.034487435888603174
2017-09-10 00:00:00.000000017,436196921.77271235,0.026927252453668556
2017-09-17 00:00:00.000000018,302920553.110248,0.018699852749659723
2017-09-24 00:00:00.000000018,264674110.72322175,0.016338828271484297
2017-10-01 00:00:00.000000019,286424519.1364076,0.017681521695206873
2017-10-08 00:00:00.000000019,192399207.11409324,0.011877163187654003
2017-10-15 00:00:00.000000020,184758840.45210892,0.01140550905238469
2017-10-22 00:00:00.000000020,183381842.6267848,0.0113205043991653
2017-10-29 00:00:00.000000021,168088964.13267314,0.010376446384540437
2017-11-05 00:00:00.000000021,139046021.45392936,0.008583571170452024
2017-11-12 00:00:00.000000022,122575305.9892946,0.007566803074963578
2017-11-19 00:00:00.000000022,122575305.9892946,0.007566803074963578
2017-11-26 00:00:00.000000023,112436954.80828075,0.006940943679611497
2017-12-03 00:00:00.000000023,128012751.43996412,0.007902466760434339
2017-12-10 00:00:00.000000024,147656830.4962756,0.009115132530333437
2017-12-17 00:00:00.000000024,141891815.91529766,0.008759247389305409
2017-12-24 00:00:00.000000025,226408733.8160261,0.013976634929937209
2017-12-31 00:00:00.000000025,383419260.9875604,0.023669188664267524
2018-01-07 00:00:00.000000026,269735501.71484435,0.016651277411300007
2018-01-14 00:00:00.000000026,336055278.8522184,0.020745321391233532
2018-01-21 00:00:00.000000027,349487636.57857174,0.021574525976345137
2018-01-28 00:00:00.000000027,607068982.9616016,0.037475504628885443
2018-02-04 00:00:00.000000028,1034664780.9352695,0.06387179361087042
2018-02-11 00:00:00.000000028,1195605469.7089868,0.07380696357737314
2018-02-18 00:00:00.000000029,739608210.6396289,0.045657399240145766
2018-02-25 00:00:00.000000029,813058458.1030246,0.05019162050010655
2018-03-04 00:00:00.000000030,453806509.0198795,0.028014325236030948
2018-03-11 00:00:00.000000030,241978111.48502362,0.01493776175617845
2018-03-18 00:00:00.000000031,200147692.36322555,0.012355491685684145
2018-03-25 00:00:00.000000031,186775889.37960163,0.011530025258187488
2018-04-01 00:00:00.000000032,76131078.52523415,0.00469971397938299
2018-04-08 00:00:00.000000032,72879912.39826253,0.004499013408837934
2018-04-15 00:00:00.000000033,69548379.34517238,0.004293351637512908
2018-04-22 00:00:00.000000033,72996782.66798905,0.00450622802934572
2018-04-29 00:00:00.000000034,41902565.18304623,0.0025867237818980268
2018-05-06 00:00:00.000000034,70507142.16354129,0.004352537860901395
2018-05-13 00:00:00.000000035,73563986.06626946,0.004541242556811903
2018-05-20 00:00:00.000000035,77449130.97058511,0.004781079823962778
2018-05-27 00:00:00.000000036,78571729.24129955,0.0048503799164914705
2018-06-03 00:00:00.000000036,51002566.57468762,0.0031484839011708173
2018-06-10 00:00:00.000000037,68345648.91668747,0.0042191048368938125
2018-06-17 00:00:00.000000037,145904254.0649896,0.009006942706760637
2018-06-24 00:00:00.000000038,328181702.4789831,0.020259270783967165
2018-07-01 00:00:00.000000038,507849419.352107,0.03135049524826485
2018-07-08 00:00:00.000000039,507849419.352107,0.03135049524826485
2018-07-15 00:00:00.000000039,371694154.8657418,0.02294537591633443
2018-07-22 00:00:00.000000040,726589471.4704609,0.044853728102779704
2018-07-29 00:00:00.000000040,1168375449.033111,0.07212600343194603
2018-08-05 00:00:00.000000041,1018884431.8106662,0.06289764312177863
2018-08-12 00:00:00.000000041,407413549.9721578,0.025150401035755082
2018-08-19 00:00:00.000000042,854037695.314754,0.0527213455180515
2018-08-26 00:00:00.000000042,510327679.1290378,0.03150348286309713
2018-09-02 00:00:00.000000043,275961025.7537028,0.017035590663143804
2018-09-09 00:00:00.000000043,488698823.47878927,0.030168293118952926
2018-09-16 00:00:00.000000044,445624094.47102493,0.027509209470100843
2018-09-23 00:00:00.000000044,144294153.95458597,0.008907548213162836
2018-09-30 00:00:00.000000045,144294153.95458597,0.008907548213162836
2018-10-07 00:00:00.000000045,98964077.48911755,0.006109237744191235
2018-10-14 00:00:00.000000046,53297039.945030354,0.0032901260371133354
2018-10-21 00:00:00.000000046,39069163.0759914,0.0024118125662723994
2018-10-28 00:00:00.000000047,16209065.922117407,0.0010006159794736906
2018-11-04 00:00:00.000000047,14996994.670590717,0.0009257925523640889
2018-11-11 00:00:00.000000048,1128520.3686002246,6.966567471615375e-05
2018-11-18 00:00:00.000000048,824910.6843843348,5.0923280613428355e-05
2018-11-25 00:00:00.000000049,17287858.147669178,0.0010672118428384117
2018-12-02 00:00:00.000000049,33601273.505012214,0.0020742695082696717
2018-12-09 00:00:00.000000050,90322810.67279756,0.005575796168911614
2018-12-16 00:00:00.000000050,53914141.82587005,0.0033282208913077965
2018-12-23 00:00:00.000000051,77220157.64385888,0.004766944871912093
2018-12-30 00:00:00.000000051,363851370.0448787,0.02246122612923157
2019-01-06 00:00:00.000000052,412254662.82981867,0.02544925199404511
2019-01-13 00:00:00.000000052,483609527.14174104,0.02985412132993091
2019-01-20 00:00:00.000000053,488407261.3615318,0.030150294443709157
2019-01-27 00:00:00.000000053,682074032.4712018,0.04210570672943419
2019-02-03 00:00:00.000000054,1160751837.2966912,0.07165538360959364
2019-02-10 00:00:00.000000054,930621108.1299603,0.057448982939833006
2019-02-17 00:00:00.000000055,924248150.1401796,0.057055568314232176
2019-02-24 00:00:00.000000055,507385529.85844445,0.03132185848151352
2019-03-03 00:00:00.000000056,176622594.78693202,0.010903243378062845
2019-03-10 00:00:00.000000056,194341199.3836232,0.011997046005469839
2019-03-17 00:00:00.000000057,157982038.94961503,0.009752526974865292
2019-03-24 00:00:00.000000057,139999055.5681697,0.008642403750211677
2019-03-31 00:00:00.000000058,62932379.528252274,0.0038849335849974872
2019-04-07 00:00:00.000000058,54910616.73039556,0.0033897351523641483
2019-04-14 00:00:00.000000059,58985811.031406924,0.00364130452450718
2019-04-21 00:00:00.000000059,78683576.45352633,0.004857284454257646
2019-04-28 00:00:00.000000060,50753915.86949077,0.0031331342277150587
2019-05-05 00:00:00.000000060,24895760.148922488,0.0015368618738335036
2019-05-12 00:00:00.000000061,28557770.64398546,0.0017629246362386125
2019-05-19 00:00:00.000000061,32615039.30783811,0.00201338742524666
2019-05-26 00:00:00.000000062,36208505.045691244,0.0022352187914872483
2019-06-02 00:00:00.000000062,36293578.32570355,0.0022404705243024253
2019-06-09 00:00:00.000000063,35159014.773107916,0.002170431792526614
