Dates,country Flooded Area (m^2),country Fractional flooded Area
2017-01-08 00:00:00.000000000,1815157271.8524017,0.01310472475690474
2017-01-15 00:00:00.000000000,1818505720.7955587,0.013128899247150338
2017-01-22 00:00:00.000000001,2234891294.1024137,0.016135040045828206
2017-01-29 00:00:00.000000001,4062998019.734387,0.029333254788512723
2017-02-05 00:00:00.000000002,4150825806.7539873,0.029967337020806204
2017-02-12 00:00:00.000000002,3759977838.151231,0.027145567728546798
2017-02-19 00:00:00.000000003,3719693508.44746,0.026854730641881812
2017-02-26 00:00:00.000000003,2280229861.3701572,0.016462366748659772
2017-03-05 00:00:00.000000004,1514391555.0402331,0.01093331404982353
2017-03-12 00:00:00.000000004,1312915856.226153,0.00947873839453108
2017-03-19 00:00:00.000000005,880145988.4575024,0.0063543094052994605
2017-03-26 00:00:00.000000005,1743585590.894894,0.012588005245112813
2017-04-02 00:00:00.000000006,4088718775.6043005,0.029518948574633407
2017-04-09 00:00:00.000000006,4088718775.6043005,0.029518948574633407
2017-04-16 00:00:00.000000007,3996884999.6940255,0.02885594467114064
2017-04-23 00:00:00.000000007,4427665741.009985,0.03196601294624935
2017-04-30 00:00:00.000000008,4447476540.516878,0.03210903916154094
2017-05-07 00:00:00.000000008,3009439866.1660113,0.02172697745265606
2017-05-14 00:00:00.000000009,2827853856.4881516,0.020415997564888797
2017-05-21 00:00:00.000000009,3587999263.0110974,0.025903949756239563
2017-05-28 00:00:00.000000010,4031033985.364535,0.02910248697625055
2017-06-04 00:00:00.000000010,5395754753.41107,0.03895523654931109
2017-06-11 00:00:00.000000011,5400567201.587441,0.03898998054077463
2017-06-18 00:00:00.000000011,7478690336.304304,0.05399321586022909
2017-06-25 00:00:00.000000012,7563053750.493538,0.054602286677202655
2017-07-02 00:00:00.000000012,8308708345.684965,0.059985620884785
2017-07-09 00:00:00.000000013,8871678022.971598,0.06405004151749187
2017-07-16 00:00:00.000000013,10866232947.18136,0.07844994707918654
2017-07-23 00:00:00.000000014,12298351669.719896,0.08878928349322902
2017-07-30 00:00:00.000000014,9192830526.151058,0.06636863683946241
2017-08-06 00:00:00.000000015,14333640358.79266,0.10348327088745678
2017-08-13 00:00:00.000000015,14750413393.144245,0.10649220900316274
2017-08-20 00:00:00.000000016,14814474593.097303,0.10695470578291844
2017-08-27 00:00:00.000000016,13873004425.396288,0.10015765981567401
2017-09-03 00:00:00.000000017,9647873347.464424,0.06965386783205375
2017-09-10 00:00:00.000000017,7754016009.346225,0.055980959412633126
2017-09-17 00:00:00.000000018,7390592925.724202,0.053357187051403014
2017-09-24 00:00:00.000000018,7390592925.724202,0.053357187051403014
2017-10-01 00:00:00.000000019,5073327401.027959,0.03662743731527216
2017-10-08 00:00:00.000000019,5999476930.273273,0.04331387427184
2017-10-15 00:00:00.000000020,4213315907.492922,0.030418491079418034
2017-10-22 00:00:00.000000020,4607617699.447006,0.033265195623889465
2017-10-29 00:00:00.000000021,5502038083.048523,0.039722560572823834
2017-11-05 00:00:00.000000021,3834455072.6109114,0.02768326419892126
2017-11-12 00:00:00.000000022,2931192837.403339,0.021162064543520653
2017-11-19 00:00:00.000000022,2725757769.977751,0.01967890379718979
2017-11-26 00:00:00.000000023,2157792248.151222,0.015578415123085713
2017-12-03 00:00:00.000000023,2030835374.4455273,0.014661836206366075
2017-12-10 00:00:00.000000024,1584595853.775357,0.011440161597384204
2017-12-17 00:00:00.000000024,1584595853.775357,0.011440161597384204
2017-12-24 00:00:00.000000025,1428202283.9125679,0.010311061260689931
2017-12-31 00:00:00.000000025,1724859020.7310088,0.012452806741135173
2018-01-07 00:00:00.000000026,1568654615.9066403,0.011325072101948535
2018-01-14 00:00:00.000000026,1900321127.2945323,0.013719574446302176
2018-01-21 00:00:00.000000027,2769098091.2832947,0.019991803946610643
2018-01-28 00:00:00.000000027,3374616301.6124935,0.024363408327513537
2018-02-04 00:00:00.000000028,4253719133.280582,0.030710186549253563
2018-02-11 00:00:00.000000028,4253719133.280582,0.030710186549253563
2018-02-18 00:00:00.000000029,2993495813.5073056,0.021611867635538833
2018-02-25 00:00:00.000000029,2618516070.903705,0.01890466072160551
2018-03-04 00:00:00.000000030,1554458681.9014168,0.011222583017013328
2018-03-11 00:00:00.000000030,1699290777.9690228,0.012268214039935454
2018-03-18 00:00:00.000000031,1261131699.9116702,0.00910487706262716
2018-03-25 00:00:00.000000031,1106244361.7336082,0.007986651128914142
2018-04-01 00:00:00.000000032,988325272.0562384,0.007135321474029916
2018-04-08 00:00:00.000000032,995866836.6692924,0.0071897686175491264
2018-04-15 00:00:00.000000033,1211716324.2161577,0.008748117399268696
2018-04-22 00:00:00.000000033,1211451323.091909,0.00874620419491588
2018-04-29 00:00:00.000000034,960298431.8287873,0.0069329786618218744
2018-05-06 00:00:00.000000034,2311948047.4685235,0.016691359632666557
2018-05-13 00:00:00.000000035,2428263757.990535,0.01753111351787079
2018-05-20 00:00:00.000000035,3323220128.346077,0.023992348081297396
2018-05-27 00:00:00.000000036,3527825483.66621,0.025469518631110265
2018-06-03 00:00:00.000000036,3537597986.2322884,0.025540072273100695
2018-06-10 00:00:00.000000037,6950469780.36174,0.05017967027720515
2018-06-17 00:00:00.000000037,7262190491.42471,0.05243017175322217
2018-06-24 00:00:00.000000038,7189130657.359015,0.05190270835869273
2018-07-01 00:00:00.000000038,7139077737.515176,0.05154134587622115
2018-07-08 00:00:00.000000039,8439609330.566311,0.06093067473983039
2018-07-15 00:00:00.000000039,7201662873.39195,0.051993186051316066
2018-07-22 00:00:00.000000040,8493315806.632118,0.061318414467632296
2018-07-29 00:00:00.000000040,11097829039.791573,0.08012198018369775
2018-08-05 00:00:00.000000041,10253236687.277456,0.07402435410847127
2018-08-12 00:00:00.000000041,9658939029.104122,0.06973375772059646
2018-08-19 00:00:00.000000042,7910935772.75314,0.057113858660678814
2018-08-26 00:00:00.000000042,7910935772.75314,0.057113858660678814
2018-09-02 00:00:00.000000043,6762353873.311632,0.04882154708726726
2018-09-09 00:00:00.000000043,6960599706.728734,0.05025280437908476
2018-09-16 00:00:00.000000044,7132718505.833975,0.05149543471351375
2018-09-23 00:00:00.000000044,4392278500.330303,0.03171053092482631
2018-09-30 00:00:00.000000045,4844303143.448943,0.034973971852654384
2018-10-07 00:00:00.000000045,3398162428.843319,0.024533402146361055
2018-10-14 00:00:00.000000046,2618018953.2847123,0.01890107172704855
2018-10-21 00:00:00.000000046,2250762008.4246645,0.0162496203888727
2018-10-28 00:00:00.000000047,1624220010.1368282,0.011726232491016312
2018-11-04 00:00:00.000000047,1595198458.855638,0.011516708254490917
2018-11-11 00:00:00.000000048,1061156818.8348901,0.007661136723735438
2018-11-18 00:00:00.000000048,1061156818.8348901,0.007661136723735438
2018-11-25 00:00:00.000000049,786442644.39788,0.005677807951819485
2018-12-02 00:00:00.000000049,553864091.1626992,0.003998681866289858
