Dates,division Flooded Area (m^2),division Fractional flooded Area
2017-01-03 00:00:00.000000000,306192823.2687222,0.02469724160937046
2017-01-10 00:00:00.000000000,,
2017-01-17 00:00:00.000000001,,
2017-01-24 00:00:00.000000001,140570899.88752887,0.01133832413414232
2017-01-31 00:00:00.000000002,124109313.7833609,0.010010547196237774
2017-02-07 00:00:00.000000002,,
2017-02-14 00:00:00.000000003,173088098.63652885,0.013961132550717011
2017-02-21 00:00:00.000000003,154523121.68606734,0.012463697972325383
2017-02-28 00:00:00.000000004,137399765.65875798,0.011082543259242569
2017-03-07 00:00:00.000000004,121355357.4929088,0.009788415523911643
2017-03-14 00:00:00.000000005,58025218.6400072,0.004680262681830115
2017-03-21 00:00:00.000000005,48973257.83392805,0.003950139550008412
2017-03-28 00:00:00.000000006,75769070.69226061,0.006111466054062096
2017-04-04 00:00:00.000000006,2272100724.037837,0.1832656296230055
2017-04-11 00:00:00.000000007,2273097331.9229593,0.18334601513128065
2017-04-18 00:00:00.000000007,1761798178.3379133,0.14210507879596315
2017-04-25 00:00:00.000000008,1531882179.6540115,0.12356025821937956
2017-05-02 00:00:00.000000008,1606097865.9675293,0.1295464296669108
2017-05-09 00:00:00.000000009,932805231.2995795,0.07523924279463584
2017-05-16 00:00:00.000000009,1075778801.519792,0.08677136418725237
2017-05-23 00:00:00.000000010,1619348122.74735,0.13061518362914926
2017-05-30 00:00:00.000000010,1775694367.7437704,0.1432259331110391
2017-06-06 00:00:00.000000011,2203098015.858191,0.17769993236916104
2017-06-13 00:00:00.000000011,1943653769.2055497,0.15677338949549624
2017-06-20 00:00:00.000000012,2696650933.5967865,0.21750947305752044
2017-06-27 00:00:00.000000012,2814988291.7416153,0.22705445943021701
2017-07-04 00:00:00.000000013,2692991181.558021,0.21721428070334678
2017-07-11 00:00:00.000000013,2748401496.790178,0.22168362759505672
2017-07-18 00:00:00.000000014,1071102131.5016918,0.08639414813061425
2017-07-25 00:00:00.000000014,2509001909.821012,0.20237386919692463
2017-08-01 00:00:00.000000015,2408358158.7484164,0.1942560334809262
2017-08-08 00:00:00.000000015,2064516622.3497093,0.1665220800553644
2017-08-15 00:00:00.000000016,2543380317.392768,0.20514680106672198
2017-08-22 00:00:00.000000016,2543380317.392768,0.20514680106672198
2017-08-29 00:00:00.000000017,2600543260.33742,0.2097575133555849
2017-09-05 00:00:00.000000017,2033556942.0647855,0.16402489969697767
2017-09-12 00:00:00.000000018,2116503445.6988711,0.1707152911275622
2017-09-19 00:00:00.000000018,2032238895.2377949,0.16391858720868632
2017-09-26 00:00:00.000000019,1851146792.4731412,0.14931185878251926
2017-10-03 00:00:00.000000019,1423568513.9726171,0.11482377399230712
2017-10-10 00:00:00.000000020,1108673290.79912,0.08942460452344216
2017-10-17 00:00:00.000000020,956710514.4296259,0.07716742173397374
2017-10-24 00:00:00.000000021,1825093960.1741908,0.14721046043154976
2017-10-31 00:00:00.000000021,1596500125.501887,0.12877228443171707
2017-11-07 00:00:00.000000022,1468136679.2374337,0.11841860268189242
2017-11-14 00:00:00.000000022,1232837930.259184,0.09943961423970293
2017-11-21 00:00:00.000000023,1138999418.92823,0.09187068312674124
2017-11-28 00:00:00.000000023,853692707.7839832,0.06885809680063934
2017-12-05 00:00:00.000000024,853692707.7839832,0.06885809680063934
2017-12-12 00:00:00.000000024,712735125.725274,0.05748858322545876
2017-12-19 00:00:00.000000025,665134244.478229,0.05364913835399789
2017-12-26 00:00:00.000000025,623578981.9425426,0.05029732772686257
2018-01-02 00:00:00.000000026,450879549.0415064,0.03636754460972233
2018-01-09 00:00:00.000000026,433308447.5846156,0.03495027514732627
2018-01-16 00:00:00.000000027,272641820.63800865,0.021991047488418965
2018-01-23 00:00:00.000000027,223271186.58026144,0.018008855924569366
2018-01-30 00:00:00.000000028,203468903.22886708,0.016411621309055897
2018-02-06 00:00:00.000000028,150198458.6025248,0.012114874482887686
2018-02-13 00:00:00.000000029,75734732.12400015,0.0061086963355958205
2018-02-20 00:00:00.000000029,75527909.22413108,0.006092014183891912
2018-02-27 00:00:00.000000030,46034321.56612155,0.003713087556739264
2018-03-06 00:00:00.000000030,54504888.427947894,0.004396315968566714
2018-03-13 00:00:00.000000031,50140011.56834338,0.004044248871611295
2018-03-20 00:00:00.000000031,58945220.69929388,0.004754469232123361
2018-03-27 00:00:00.000000032,43123503.87282297,0.0034783035827558708
2018-04-03 00:00:00.000000032,18797775.392156295,0.0015162118942654733
2018-04-10 00:00:00.000000033,47438324.84752293,0.0038263332164217814
2018-04-17 00:00:00.000000033,41377547.645506024,0.003337476301681461
2018-04-24 00:00:00.000000034,135532742.0593221,0.01093195079128914
2018-05-01 00:00:00.000000034,570690337.6897105,0.04603137658026146
2018-05-08 00:00:00.000000035,1192673433.4980726,0.09619998154668785
2018-05-15 00:00:00.000000035,1197111090.0644982,0.0965579189902583
2018-05-22 00:00:00.000000036,1197111090.0644982,0.0965579189902583
2018-05-29 00:00:00.000000036,1586644392.0323877,0.12797732970960665
2018-06-05 00:00:00.000000037,1526152737.418832,0.12309812648925415
2018-06-12 00:00:00.000000037,3354363963.415262,0.27056002281780045
2018-06-19 00:00:00.000000038,2261997576.9349732,0.18245071873662114
2018-06-26 00:00:00.000000038,3022896352.8681626,0.24382413927889104
2018-07-03 00:00:00.000000039,3016390436.8725824,0.24329937786378728
2018-07-10 00:00:00.000000039,2814539431.0681934,0.22701825472632453
2018-07-17 00:00:00.000000040,2007171578.4363978,0.16189667966384685
2018-07-24 00:00:00.000000040,1747958429.4915826,0.14098877692637016
2018-07-31 00:00:00.000000041,2448907078.8170424,0.1975266734170393
2018-08-07 00:00:00.000000041,2054128441.4172554,0.16568417859303813
2018-08-14 00:00:00.000000042,2054128441.4172554,0.16568417859303813
2018-08-21 00:00:00.000000042,1784000702.8609626,0.14389591473597632
2018-08-28 00:00:00.000000043,1687285908.4834743,0.13609498518301572
2018-09-04 00:00:00.000000043,1826631175.2137663,0.1473344508335215
2018-09-11 00:00:00.000000044,1549761632.5957794,0.12500239903911614
